iter	Passed	Remaining
202	3677	14440
203	3690	14400
204	3702	14359
205	3714	14318
206	3726	14276
207	3738	14235
208	3750	14195
209	3762	14154
210	3774	14114
211	3786	14075
212	3798	14035
213	3810	13996
214	3822	13957
215	3834	13918
216	3848	13886
217	3862	13855
218	3880	13837
219	3892	13801
220	3904	13762
221	3916	13724
222	3928	13687
223	3940	13650
224	3952	13612
225	3964	13576
226	3975	13537
227	3987	13500
228	3998	13461
229	4009	13422
230	4020	13383
231	4034	13354
232	4047	13324
233	4062	13299
234	4074	13263
235	4085	13226
236	4097	13190
237	4108	13153
238	4119	13116
239	4130	13079
240	4141	13042
241	4152	13006
242	4163	12969
243	4174	12933
244	4185	12897
245	4196	12861
246	4207	12825
247	4217	12789
248	4231	12763
249	4245	12737
250	4261	12716
251	4273	12684
252	4284	12651
253	4295	12617
254	4307	12583
255	4318	12549
256	4329	12515
257	4340	12482
258	4351	12449
259	4362	12416
260	4373	12383
261	4384	12351
262	4395	12317
263	4406	12285
264	4421	12262
265	4434	12235
266	4447	12209
267	4461	12184
268	4472	12154
269	4483	12122
270	4494	12090
271	4505	12059
272	4516	12027
273	4527	11996
274	4538	11965
275	4549	11934
276	4560	11903
277	4571	11873
278	4582	11842
279	4593	11811
280	4604	11781
281	4619	11760
282	4632	11736
283	4645	11712
284	4657	11683
285	4670	11659
286	4681	11631
287	4692	11601
288	4703	11572
289	4714	11543
290	4725	11514
291	4737	11485
292	4748	11456
293	4759	11428
294	4770	11399
295	4781	11371
296	4792	11342
297	4807	11324
298	4820	11301
299	4834	11279
300	4846	11253
301	4860	11233
302	4871	11207
303	4883	11179
304	4894	11152
305	4905	11125
306	4916	11098
307	4928	11072
308	4939	11045
309	4950	11018
310	4961	10990
311	4972	10964
312	4983	10937
313	4994	10911
314	5007	10889
315	5020	10866
316	5032	10842
317	5042	10815
318	5055	10792
319	5068	10770
320	5084	10754
321	5095	10729
322	5106	10702
323	5116	10674
324	5126	10646
325	5135	10618
326	5145	10589
327	5154	10561
328	5164	10532
329	5173	10504
330	5183	10476
331	5196	10456
332	5208	10432
333	5220	10409
334	5231	10385
335	5244	10364
336	5254	10338
337	5264	10311
338	5274	10284
339	5284	10257
340	5293	10230
341	5303	10202
342	5312	10176
343	5322	10149
344	5331	10122
345	5341	10095
346	5350	10069
347	5360	10042
348	5369	10016
349	5379	9991
350	5391	9969
351	5403	9947
352	5417	9929
353	5424	9898
354	5433	9872
355	5443	9847
356	5453	9821
357	5462	9795
358	5471	9770
359	5481	9744
360	5491	9720
361	5500	9694
362	5510	9669
363	5519	9644
364	5529	9619
365	5538	9594
366	5548	9569
367	5557	9544
368	5567	9519
369	5579	9500
370	5592	9481
371	5606	9464
372	5616	9440
373	5625	9416
374	5635	9392
375	5644	9368
376	5654	9343
377	5663	9319
378	5673	9296
379	5682	9272
380	5692	9248
381	5701	9224
382	5711	9201
383	5721	9177
384	5730	9154
385	5740	9131
386	5750	9107
387	5759	9084
388	5770	9063
389	5782	9043
390	5794	9025
391	5806	9005
392	5815	8982
393	5824	8959
394	5834	8936
395	5843	8913
396	5853	8890
397	5862	8867
398	5872	8845
399	5881	8822
400	5891	8799
401	5900	8777
402	5909	8754
403	5919	8732
404	5928	8710
405	5938	8687
406	5949	8669
407	5961	8650
408	5973	8632
409	5985	8613
410	5995	8592
411	6005	8570
412	6014	8548
413	6024	8527
414	6033	8505
415	6043	8483
416	6052	8462
417	6062	8440
418	6071	8419
419	6081	8397
420	6090	8376
421	6099	8354
422	6109	8333
423	6118	8312
424	6130	8294
425	6142	8276
426	6154	8258
427	6167	8242
428	6177	8221
429	6187	8201
430	6196	8180
431	6206	8160
432	6215	8139
433	6225	8118
434	6234	8097
435	6243	8076
436	6253	8056
437	6262	8034
438	6270	8013
439	6279	7992
440	6288	7971
441	6296	7949
442	6305	7928
443	6314	7907
444	6326	7890
445	6338	7872
446	6349	7854
447	6362	7839
448	6371	7818
449	6380	7798
450	6389	7777
451	6398	7757
452	6407	7736
453	6415	7715
454	6424	7695
455	6433	7675
456	6442	7654
457	6451	7634
458	6460	7614
459	6468	7593
460	6477	7573
461	6486	7553
462	6495	7533
463	6504	7513
464	6515	7496
465	6525	7478
466	6536	7459
467	6545	7440
468	6556	7423
469	6565	7404
470	6575	7385
471	6584	7365
472	6592	7345
473	6601	7325
474	6610	7305
475	6618	7286
476	6627	7266
477	6636	7247
478	6644	7227
479	6653	7208
480	6662	7188
481	6671	7169
482	6680	7150
483	6690	7133
484	6701	7116
485	6712	7099
486	6722	7081
487	6731	7062
488	6743	7046
489	6752	7028
490	6762	7009
491	6771	6991
492	6780	6972
493	6789	6954
494	6798	6935
495	6807	6917
496	6816	6898
497	6824	6879
498	6833	6861
499	6842	6842
500	6851	6824
501	6860	6805
502	6869	6787
503	6880	6771
504	6891	6755
505	6901	6738
506	6911	6720
507	6922	6704
508	6931	6686
509	6940	6668
510	6950	6650
511	6959	6632
512	6968	6614
513	6977	6596
514	6985	6578
515	6994	6560
516	7003	6543
517	7012	6525
518	7021	6507
519	7030	6489
520	7039	6471
521	7049	6455
522	7060	6439
523	7073	6425
524	7082	6407
525	7091	6390
526	7100	6373
527	7109	6355
528	7118	6338
529	7127	6320
530	7136	6303
531	7145	6285
532	7154	6268
533	7163	6251
534	7172	6233
535	7181	6216
536	7190	6199
537	7199	6182
538	7208	6165
539	7217	6148
540	7226	6130
541	7235	6113
542	7247	6099
543	7258	6084
544	7271	6070
545	7281	6054
546	7290	6037
547	7299	6020
548	7308	6004
549	7317	5986
550	7326	5970
551	7335	5953
552	7343	5936
553	7352	5919
554	7361	5902
555	7370	5885
556	7379	5869
557	7388	5852
558	7397	5836
559	7406	5819
560	7415	5802
561	7424	5785
562	7434	5770
563	7446	5756
564	7460	5743
565	7469	5727
566	7478	5711
567	7488	5695
568	7498	5679
569	7507	5663
570	7516	5647
571	7525	5631
572	7535	5615
573	7544	5599
574	7553	5583
575	7562	5566
576	7572	5551
577	7581	5535
578	7590	5519
579	7600	5503
580	7611	5489
581	7621	5474
582	7632	5459
583	7641	5443
584	7654	5429
585	7664	5414
586	7673	5398
587	7683	5383
588	7693	5368
589	7702	5352
590	7711	5336
591	7720	5320
592	7730	5305
593	7739	5290
594	7749	5274
595	7758	5259
596	7767	5243
597	7777	5228
598	7788	5213
599	7798	5198
600	7808	5184
601	7818	5169
602	7828	5154
603	7838	5138
604	7847	5123
605	7859	5109
606	7868	5094
607	7877	5079
608	7887	5063
609	7896	5048
610	7905	5033
611	7914	5017
612	7923	5002
613	7932	4986
614	7941	4971
615	7950	4955
616	7960	4941
617	7970	4926
618	7980	4911
619	7988	4896
620	7998	4881
621	8007	4866
622	8017	4851
623	8026	4836
624	8038	4822
625	8049	4809
626	8060	4795
627	8070	4780
628	8080	4766
629	8092	4752
630	8101	4737
631	8111	4723
632	8121	4708
633	8130	4693
634	8140	4679
635	8149	4664
636	8159	4649
637	8169	4635
638	8178	4620
639	8188	4605
640	8197	4591
641	8206	4576
642	8215	4561
643	8226	4547
644	8236	4533
645	8247	4519
646	8256	4504
647	8266	4490
648	8276	4476
649	8287	4462
650	8298	4448
651	8307	4433
652	8317	4419
653	8326	4405
654	8335	4390
655	8344	4375
656	8353	4361
657	8362	4346
658	8371	4331
659	8380	4317
660	8389	4302
661	8399	4288
662	8409	4274
663	8420	4261
664	8430	4247
665	8442	4233
666	8453	4220
667	8462	4205
668	8471	4191
669	8480	4177
670	8490	4162
671	8499	4148
672	8508	4134
673	8518	4120
674	8527	4105
675	8537	4091
676	8546	4077
677	8556	4063
678	8566	4049
679	8575	4035
680	8585	4021
681	8597	4008
682	8607	3994
683	8617	3981
684	8627	3967
685	8641	3955
686	8652	3942
687	8662	3928
688	8672	3914
689	8681	3900
690	8690	3886
691	8699	3872
692	8708	3857
693	8717	3843
694	8726	3829
695	8735	3815
696	8744	3801
697	8752	3787
698	8761	3773
699	8770	3758
700	8782	3746
701	8793	3733
702	8807	3720
703	8817	3707
704	8826	3693
705	8835	3679
706	8844	3665
707	8853	3651
708	8862	3637
709	8870	3623
710	8879	3609
711	8888	3595
712	8897	3581
713	8906	3567
714	8915	3553
715	8924	3539
716	8934	3526
717	8945	3513
718	8954	3499
719	8965	3486
720	8975	3473
721	8986	3460
722	8997	3447
723	9008	3434
724	9017	3420
725	9026	3406
726	9036	3393
727	9044	3379
728	9054	3365
729	9063	3352
730	9072	3338
731	9081	3324
732	9090	3311
733	9099	3297
734	9108	3283
735	9116	3270
736	9126	3256
737	9138	3244
738	9149	3231
739	9160	3218
740	9172	3206
741	9182	3192
742	9191	3179
743	9200	3165
744	9210	3152
745	9219	3139
746	9228	3125
747	9237	3111
748	9246	3098
749	9255	3085
750	9264	3071
751	9273	3058
752	9281	3044
753	9290	3031
754	9299	3017
755	9308	3004
756	9317	2990
757	9329	2978
758	9340	2965
759	9351	2953
760	9366	2941
761	9376	2928
762	9386	2915
763	9395	2902
764	9404	2888
765	9413	2875
766	9422	2862
767	9431	2849
768	9442	2836
769	9452	2823
770	9461	2810
771	9470	2797
772	9479	2783
773	9488	2770
774	9497	2757
775	9508	2744
776	9520	2732
777	9531	2719
778	9546	2708
779	9555	2695
780	9565	2682
781	9574	2669
782	9583	2655
783	9594	2643
784	9610	2632
785	9624	2620
786	9636	2608
787	9651	2596
788	9668	2585
789	9680	2573
790	9691	2560
791	9712	2550
792	9736	2541
793	9745	2528
794	9755	2515
795	9765	2502
796	9775	2489
797	9795	2479
798	9805	2466
799	9814	2453
800	9823	2440
801	9832	2427
802	9841	2414
803	9850	2401
804	9861	2388
805	9874	2376
806	9887	2364
807	9896	2351
808	9907	2339
809	9915	2325
810	9924	2312
811	9932	2299
812	9940	2286
813	9948	2273
814	9956	2259
815	9963	2246
816	9971	2233
817	9979	2220
818	9987	2207
819	9995	2194
820	10003	2181
821	10011	2167
822	10015	2153
823	10023	2140
824	10031	2127
825	10039	2114
826	10049	2102
827	10059	2089
828	10068	2076
829	10078	2064
830	10086	2051
831	10097	2039
832	10105	2025
833	10115	2013
834	10123	2000
835	10131	1987
836	10139	1974
837	10147	1961
838	10155	1948
839	10163	1935
840	10171	1923
841	10179	1910
842	10187	1897
843	10195	1884
844	10203	1871
845	10211	1858
846	10219	1845
847	10229	1833
848	10239	1821
849	10249	1808
850	10262	1796
851	10270	1784
852	10278	1771
853	10285	1758
854	10293	1745
855	10303	1733
856	10313	1720
857	10321	1708
858	10329	1695
859	10336	1682
860	10344	1670
861	10350	1656
862	10357	1644
863	10366	1631
864	10374	1619
865	10384	1606
866	10396	1594
867	10403	1582
868	10412	1569
869	10430	1558
870	10447	1547
871	10461	1535
872	10470	1523
873	10485	1511
874	10499	1499
875	10509	1487
876	10518	1475
877	10526	1462
878	10535	1450
879	10537	1436
880	10545	1424
881	10553	1411
882	10561	1399
883	10569	1387
884	10579	1374
885	10594	1363
886	10606	1351
887	10617	1339
888	10626	1326
889	10636	1314
890	10644	1302
891	10654	1290
892	10668	1278
893	10679	1266
894	10688	1253
895	10695	1241
896	10703	1229
897	10711	1216
898	10721	1204
899	10735	1192
900	10746	1180
901	10754	1168
902	10762	1156
903	10772	1143
904	10779	1131
905	10785	1119
906	10795	1106
907	10805	1094
908	10814	1082
909	10821	1070
910	10829	1058
911	10837	1045
912	10845	1033
913	10853	1021
914	10860	1008
915	10868	996
916	10876	984
917	10884	972
918	10892	960
919	10900	947
920	10908	935
921	10916	923
922	10924	911
923	10932	899
924	10943	887
925	10950	875
926	10963	863
927	10972	851
928	10981	839
929	10990	827
930	10998	815
931	11006	803
932	11013	790
933	11021	778
934	11028	766
935	11035	754
936	11043	742
937	11051	730
938	11059	718
939	11066	706
940	11074	694
941	11081	682
942	11089	670
943	11096	658
944	11104	646
945	11111	634
946	11121	622
947	11130	610
948	11139	598
949	11150	586
950	11158	574
951	11166	563
952	11173	551
953	11182	539
954	11190	527
955	11197	515
956	11205	503
957	11213	491
958	11220	479
959	11227	467
960	11235	455
961	11242	444
962	11250	432
963	11257	420
964	11264	408
965	11272	396
966	11279	384
967	11286	373
968	11311	361
969	11320	350
970	11329	338
971	11339	326
972	11344	314
973	11351	303
974	11359	291
975	11367	279
976	11374	267
977	11382	256
978	11389	244
979	11398	232
980	11405	220
981	11413	209
982	11421	197
983	11428	185
984	11436	174
985	11443	162
986	11448	150
987	11452	139
988	11459	127
989	11467	115
990	11474	104
991	11482	92
992	11489	80
993	11498	69
994	11507	57
995	11516	46
996	11526	34
997	11536	23
998	11547	11
999	11554	0
